SourceID,ProductLine,Category,ItemNumber,ItemType,SeriesName,Series ID,Description,FDE SKU,Dimensions,Status,ComponentsQTY,Color,ItemColorSwatch,Exclusive Flag,Outlet Flag,Tag Type,QR1,QR2,Product Feature 1,Product Feature 2,Product Feature 3,Product Feature 4,Product Feature 5,Empty 10,Configuration 1,Configuration 2,SeriesMainImage,LoadDT
403274,Stationary,Sectional,10201S1,Kit,Lyndeboro,10201,3-Piece Sectional,APK-10201-S3,"93""W x 93""D x 39""H",Current,"1020177,1;1020164,1;1020165,1",Wicker,10201-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sectional/APK-10201-3S.html,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sectional/APK-10201-3S.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,,,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
403276,Stationary,Sectional,10201S2,Kit,Lyndeboro,10201,4-Piece Sectional,APK-10201-S4,"132""W x 93""D x 39""H",Current,"1020177,1;1020164,1;1020165,1;1020146,1",Wicker,10201-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional/APK-10201-4S.html,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional/APK-10201-4S.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,,,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
403278,Stationary,Sectional,10201S3,Kit,Lyndeboro,10201,5-Piece Sectional,APK-10201-S5,"132""W x 132""D x 39""H",Current,"1020177,1;1020164,1;1020165,1;1020146,2",Wicker,10201-SWATCH,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_5-piece_sectional/APK-10201-S5.html,https://www.ashleyfurniture.com/p/lyndeboro_5-piece_sectional/APK-10201-S5.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,,,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
443741,Stationary,Sectional,10201S4,Kit,Lyndeboro,10201,2-Piece Loveseat,APK-10201-LOVE,"98""W x 44""D x 39""H",Current,"1020164,1;1020165,1",Wicker,10201-SWATCH,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_2-piece_loveseat/APK-10201-S2.html,https://www.ashleyfurniture.com/p/lyndeboro_2-piece_loveseat/APK-10201-S2.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,1.0,A,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
443743,Stationary,Sectional,10201S5,Kit,Lyndeboro,10201,3-Piece Sofa,APK-10201-3PSOFA,"137""W x 44""D x 39""H",Current,"1020146,1;1020164,1;1020165,1",Wicker,10201-SWATCH,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sofa/APK-10201-S3.html,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sofa/APK-10201-S3.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,,,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
586171,Stationary,Sectional,10201S6,Kit,Lyndeboro,10201,4-Piece Sectional Sofa,APK-10201-4PSOFA,"176""W x 44""D x 39""H",Current,"1020146,2;1020164,1;1020165,1",Wicker,10201-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional_sofa/APK-10201-S4.html,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional_sofa/APK-10201-S4.html,Measure-Up,Modular,Reversible-Cushions,Toss-Pillows-Included,,,,,10201-64-46(3)-77-65-08-A3000283,2025-10-21 09:00:48
412878,Stationary,Sectional,10202S1,Kit,Lyndeboro,10202,4-Piece Sectional,APK-10202-S4,"132""W x 93""D x 39""H",Current,"1020246,1;1020264,1;1020265,1;1020277,1",Natural,10202-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional/APK-10202-4S.html,https://www.ashleyfurniture.com/p/lyndeboro_4-piece_sectional/APK-10202-4S.html,Measure-Up,Modular,Reversible-Cushions,,,,,,10202-64-46(3)-77-65-08-T965-NO-CHAIR,2025-10-21 09:00:48
412880,Stationary,Sectional,10202S2,Kit,Lyndeboro,10202,5-Piece Sectional,APK-10202-S5,"132""W x 132""D x 39""H",Current,"1020246,2;1020264,1;1020265,1;1020277,1",Natural,10202-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_5-piece_sectional/APK-10202-S5.html,https://www.ashleyfurniture.com/p/lyndeboro_5-piece_sectional/APK-10202-S5.html,Measure-Up,Modular,Reversible-Cushions,,,,,,10202-64-46(3)-77-65-08-T965-NO-CHAIR,2025-10-21 09:00:48
412883,Stationary,Sectional,10202S3,Kit,Lyndeboro,10202,2-Piece Loveseat,APK-10202-LOVE,"98""W x 44""D x 39""H",Current,"1020264,1;1020265,1",Natural,10202-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_2-piece_loveseat/APK-10202-S2.html,https://www.ashleyfurniture.com/p/lyndeboro_2-piece_loveseat/APK-10202-S2.html,Measure-Up,Modular,Reversible-Cushions,,,,1.0,A,10202-64-46(3)-77-65-08-T965-NO-CHAIR,2025-10-21 09:00:48
412885,Stationary,Sectional,10202S4,Kit,Lyndeboro,10202,3-Piece Sofa,APK-10202-3PSOFA,"137""W x 44""D x 39""H",Current,"1020246,1;1020264,1;1020265,1",Natural,10202-SWATCH-BODY-A-500,1.0,,Front,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sofa/APK-10202-S3.html,https://www.ashleyfurniture.com/p/lyndeboro_3-piece_sofa/APK-10202-S3.html,Measure-Up,Modular,Reversible-Cushions,,,,,,10202-64-46(3)-77-65-08-T965-NO-CHAIR,2025-10-21 09:00:48
